,RQ,DLWZ1,DLWZ2,XQ,ZGQW,ZDQW,TQ,FS,ORG_NO
19700101,2022-11-01,福州,福州,周二,19,17,小雨,北风2级,35401
19700101,2022-11-02,福州,福州,周三,20,17,小雨~阴,北风2级,35401
19700101,2022-11-03,福州,福州,周四,20,18,多云~小雨,东北风1级,35401
19700101,2022-11-04,福州,福州,周五,19,17,多云~阴,东北风2级,35401
19700101,2022-11-05,福州,福州,周六,20,16,多云~小雨,东北风2级,35401
19700101,2022-11-06,福州,福州,周日,20,17,多云~阴,东北风2级,35401
19700101,2022-11-07,福州,福州,周一,21,18,多云~阴,东北风1级,35401
19700101,2022-11-08,福州,福州,周二,25,18,多云~小雨,东北风2级,35401
19700101,2022-11-09,福州,福州,周三,23,21,多云,西北风1级,35401
19700101,2022-11-10,福州,福州,周四,29,22,多云~阴,东北风1级,35401
19700101,2022-11-11,福州,福州,周五,27,21,多云~阴,东北风1级,35401
19700101,2022-11-12,福州,福州,周六,32,20,晴~多云,北风1级,35401
19700101,2022-11-13,福州,福州,周日,29,19,多云~小雨,东北风2级,35401
19700101,2022-11-14,福州,福州,周一,22,19,多云~小雨,东北风2级,35401
19700101,2022-11-15,福州,福州,周二,21,18,小雨,东北风1级,35401
19700101,2022-11-16,福州,福州,周三,20,16,小雨,东北风1级,35401
19700101,2022-11-17,福州,福州,周四,27,20,雾~多云,西北风1级,35401
19700101,2022-11-18,福州,福州,周五,28,20,雾~多云,东北风1级,35401
19700101,2022-11-19,福州,福州,周六,26,20,多云~阴,东北风1级,35401
19700101,2022-11-20,福州,福州,周日,25,20,雾~多云,东北风1级,35401
19700101,2022-11-21,福州,福州,周一,22,19,多云~小雨,东北风2级,35401
19700101,2022-11-22,福州,福州,周二,20,19,中雨~小雨,西北风1级,35401
19700101,2022-11-23,福州,福州,周三,21,18,小雨,东北风1级,35401
19700101,2022-11-24,福州,福州,周四,20,18,小雨~大雨,东北风1级,35401
19700101,2022-11-25,福州,福州,周五,18,17,中雨~小雨,西北风1级,35401
19700101,2022-11-26,福州,福州,周六,25,17,多云~小雨,东北风1级,35401
19700101,2022-11-27,福州,福州,周日,21,19,阴,北风1级,35401
19700101,2022-11-28,福州,福州,周一,29,21,多云,西南风1级,35401
19700101,2022-11-29,福州,福州,周二,32,14,雾~小雨,东北风2级,35401
19700101,2022-11-30,福州,福州,周三,14,11,多云~小雨,东北风3级,35401
19700101,2022-12-01,福州,福州,周四,12,11,小雨,东北风2级,35401
19700101,2022-12-02,福州,福州,周五,16,11,小雨,北风1级,35401
19700101,2022-12-03,福州,福州,周六,19,15,多云~阴,北风1级,35401
19700101,2022-12-04,福州,福州,周日,17,14,多云~小雨,东北风1级,35401
