RQ,DLWZ1,DLWZ2,NL,YCZGQW,YCZDQW,TQYC,FSYC,JR,CREATETIME,ORG_NO,RQ
20221211,福州,福州,十一月十八,16,12,阴,微风,,20221211,35401,20221211
20221212,福州,福州,十一月十九,18,10,多云转晴,微风,,20221211,35401,20221212
20221213,福州,福州,十一月二十,15,10,多云转小雨,微风,,20221211,35401,20221213
20221214,福州,福州,十一月廿一,11,9,小雨,微风,,20221211,35401,20221214
20221215,福州,福州,十一月廿二,14,12,小雨,微风,,20221211,35401,20221215
20221216,福州,福州,十一月廿三,15,10,阴,微风,,20221211,35401,20221216
20221217,福州,福州,十一月廿四,12,2,多云转晴,微风,,20221211,35401,20221217
20221218,福州,福州,十一月廿五,12,6,阴,微风,,20221211,35401,20221218
20221219,福州,福州,十一月廿六,15,9,阴,微风,,20221211,35401,20221219
20221220,福州,福州,十一月廿七,21,12,阴,微风,,20221211,35401,20221220
20221221,福州,福州,十一月廿八,16,7,多云转阴,微风,,20221211,35401,20221221
20221222,福州,福州,十一月廿九,18,9,多云转阴,微风,,20221211,35401,20221222
20221223,福州,福州,十二月初一,20,12,多云转晴,微风,,20221211,35401,20221223
20221224,福州,福州,十二月初二,20,13,晴,微风,,20221211,35401,20221224
20221225,福州,福州,十二月初三,25,11,阴,微风,,20221211,35401,20221225
20221226,福州,福州,十二月初四,16,10,,,,20221211,35401,20221226
20221227,福州,福州,十二月初五,16,10,,,,20221211,35401,20221227
20221228,福州,福州,十二月初六,16,10,,,,20221211,35401,20221228
20221229,福州,福州,十二月初七,17,10,,,,20221211,35401,20221229
20221230,福州,福州,十二月初八,16,10,,,,20221211,35401,20221230
20221231,福州,福州,十二月初九,16,9,,,,20221211,35401,20221231
20230101,福州,福州,十二月初十,16,9,,,,20221211,35401,20230101
20230102,福州,福州,十二月十一,15,9,,,,20221211,35401,20230102
20230103,福州,福州,十二月十二,16,10,,,,20221211,35401,20230103
20230104,福州,福州,十二月十三,16,10,,,,20221211,35401,20230104
20230105,福州,福州,十二月十四,16,9,,,,20221211,35401,20230105
20230106,福州,福州,十二月十五,16,9,,,,20221211,35401,20230106
20230107,福州,福州,十二月十六,16,9,,,,20221211,35401,20230107
20230108,福州,福州,十二月十七,16,9,,,,20221211,35401,20230108
20230109,福州,福州,十二月十八,15,9,,,,20221211,35401,20230109
20230110,福州,福州,十二月十九,16,9,,,,20221211,35401,20230110
